"id","date_collected","retailer_type","retailer_detail","food_type","food_detail","label_type","label_language","label_date","approximate_dollar_value","image_id","collection_lat","collection_long","label_explanation"
"5e62b45b57dbdc6ff70045b8","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","chocolate cake","sticker","","2020-03-06","2.99","IMG_1987","40.69415","-73.99233",""
"5e62b48b57dbdc6ff70045b9","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","chocolate cake","sticker","","2020-03-06","2.99","IMG_1988","40.69415","-73.99233",""
"5e62b49b57dbdc6ff70045ba","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","ready-to-eat","chocolate cake","sticker","","2020-03-06","2.99","IMG_1989","40.69415","-73.99233",""
"5e62b5b857dbdc6ff70045bb","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","packaged","valentine's chocolate sampler","package printed","p6493","2020-06-01","6.99","IMG_1990","40.69415","-73.99233",""
"5e62b5ee57dbdc6ff70045bc","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","packaged","mini chocolate donuts","sticker","","2020-03-01","1.99","IMG_1991","40.69415","-73.99233",""
"5e62b69b57dbdc6ff70045bd","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","packaged","iced honey bun","sticker","","2020-03-10","2.99","IMG_1992","40.69415","-73.99233",""
"5e62b6db57dbdc6ff70045bf","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","packaged","iced honey bun","sticker","","2020-03-10","2.99","IMG_1993","40.69415","-73.99233",""
"5e62b6f557dbdc6ff70045c0","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","packaged","iced honey bun","sticker","","2020-03-10","2.99","IMG_1994","40.69415","-73.99233",""
"5e62b80457dbdc6ff70045c1","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","packaged","king size heart-shaped peanut butter cups","package printed","bb","2020-08-01","0.99","IMG_1995","40.69415","-73.99233",""
"5e84fc680cd3827d5d8cff86","2020-03-16","coffeeshop","ready-to-eat and prepackaged food","packaged","cinnamon raisin bagel","sticker","for","2020-03-15","1.75","IMG_1997","40.6946","-73.99395",""
"5e84fe560cd3827d5d8cff87","2020-03-16","coffeeshop","ready-to-eat and prepackaged food","packaged","cheese and fruit box","sticker","enjoy by","2020-03-16","5.75","IMG_1996","40.6946","-73.99395",""
"5f48f6f1d40911354700bc97","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","honey turkey and swiss wrap","package printed","exp","2020-08-21","8.0","IMG_4013","40.69485","-73.9949",""
"5f4bc1509bc38e8c3bf3ae33","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","honey turkey and swiss wrap","package printed","exp","2020-08-21","8.0","IMG_4014","40.69485","-73.9949",""
"5f4bc1929bc38e8c3bf3ae34","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","honey turkey and swiss wrap","package printed","exp","2020-08-21","8.0","IMG_4015","40.69485","-73.9949",""
"5f4bc3339bc38e8c3bf3ae35","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","honey turkey and swiss wrap","package printed","exp","2020-08-21","8.0","IMG_4016","40.69485","-73.9949",""
"5f4bc3f39bc38e8c3bf3ae36","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","honey turkey and swiss wrap","package printed","exp","2020-08-22","8.0","IMG_4017","40.69485","-73.9949",""
"5f4bc5609bc38e8c3bf3ae37","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","honey turkey and swiss wrap","package printed","exp","2020-08-21","8.0","IMG_4018","40.69485","-73.9949",""
"5f4bc5999bc38e8c3bf3ae38","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","honey turkey and swiss wrap","package printed","exp","2020-08-22","8.0","IMG_4019","40.69485","-73.9949",""
